Model,RMSE,MaPe,Order,Test
"['Close', 'High']",0.0498,0.05251426369092923,"(1, 1)",28
"['Close', 'High', 'Open']",0.0518,0.05363589526224786,"(1, 1)",28
"['Close', 'High', 'Open', 'Low']",0.0452,0.047478738613156976,"(1, 1)",28
